iter	Passed	Remaining
0	2	2227
1	3	1924
2	5	1795
3	6	1708
4	8	1652
5	9	1593
6	11	1577
7	12	1555
8	14	1545
9	15	1526
10	16	1513
11	18	1537
12	20	1573
13	22	1577
14	23	1569
15	25	1552
16	27	1564
17	28	1561
18	30	1563
19	31	1558
20	33	1554
21	34	1549
22	36	1537
23	37	1527
24	39	1527
25	40	1524
26	42	1535
27	44	1541
28	46	1570
29	49	1590
30	50	1591
31	53	1615
32	56	1652
33	59	1694
34	61	1695
35	64	1733
36	67	1755
37	69	1769
38	72	1786
39	74	1799
40	77	1804
41	78	1796
42	80	1786
43	82	1788
44	84	1786
45	86	1789
46	88	1787
47	90	1797
48	92	1793
49	94	1791
50	96	1792
51	98	1799
52	100	1794
53	102	1787
54	104	1795
55	107	1806
56	112	1853
57	114	1863
58	117	1881
59	120	1881
60	121	1872
61	123	1867
62	125	1861
63	126	1854
64	129	1856
65	131	1867
66	134	1873
67	137	1877
68	139	1879
69	141	1876
70	143	1876
71	145	1873
72	146	1860
73	148	1852
74	149	1845
75	151	1842
76	153	1842
77	155	1840
78	158	1846
79	161	1853
80	163	1857
81	166	1859
82	169	1868
83	170	1862
84	172	1854
85	173	1843
86	176	1850
87	178	1850
88	180	1851
89	182	1848
90	184	1842
91	185	1833
92	187	1827
93	188	1818
94	190	1814
95	192	1814
96	193	1805
97	195	1797
98	197	1800
99	200	1803
100	202	1802
101	204	1802
102	207	1804
103	209	1804
104	212	1807
105	214	1812
106	217	1815
107	219	1815
108	222	1815
109	224	1817
110	226	1816
111	228	1811
112	238	1869
113	239	1864
114	241	1858
115	245	1873
116	247	1868
117	249	1866
118	251	1862
119	253	1858
120	254	1851
121	256	1845
122	258	1840
123	259	1835
124	261	1830
125	262	1821
126	263	1813
127	266	1814
128	269	1818
129	271	1814
130	272	1809
131	274	1804
132	276	1801
133	278	1797
134	280	1798
135	282	1796
136	284	1793
137	286	1789
138	295	1828
139	297	1826
140	300	1831
141	303	1834
142	306	1837
143	308	1832
144	311	1839
145	314	1840
146	316	1837
147	320	1842
148	324	1852
149	326	1849
150	327	1843
151	329	1840
152	337	1870
153	339	1865
154	341	1859
155	343	1856
156	344	1852
157	347	1852
158	349	1847
159	350	1837
160	351	1832
161	353	1829
162	356	1829
163	358	1828
164	360	1826
165	362	1820
166	363	1814
167	365	1808
168	367	1806
169	368	1799
170	372	1806
171	374	1804
172	380	1821
173	382	1817
174	385	1816
175	386	1809
176	387	1803
177	389	1800
178	391	1795
179	393	1790
180	394	1785
181	397	1786
182	399	1784
183	401	1780
184	403	1776
185	404	1771
186	406	1766
187	407	1760
188	409	1755
189	410	1751
190	412	1747
191	414	1742
192	415	1738
193	417	1733
194	419	1731
195	421	1730
196	423	1727
197	426	1726
198	428	1726
199	430	1723
200	432	1719
201	433	1713
202	435	1710
203	437	1707
204	439	1704
205	441	1700
206	442	1695
207	444	1690
208	446	1689
209	448	1688
210	451	1688
211	453	1687
212	456	1685
213	457	1681
214	459	1677
215	460	1673
216	462	1669
217	464	1665
218	465	1660
219	467	1657
220	469	1655
221	471	1654
222	473	1649
223	475	1646
224	476	1642
225	478	1639
226	481	1638
227	482	1634
228	484	1631
229	486	1629
230	488	1626
231	489	1621
232	491	1619
233	496	1624
234	498	1624
235	501	1622
236	502	1618
237	504	1614
238	505	1610
239	507	1606
240	509	1603
241	510	1599
242	512	1595
243	515	1596
244	518	1597
245	521	1597
246	523	1595
247	526	1595
248	527	1592
249	529	1588
250	531	1584
251	532	1580
252	534	1576
253	537	1579
254	540	1579
255	543	1578
256	545	1576
257	547	1574
258	549	1571
259	550	1567
260	551	1562
261	553	1558
262	554	1554
263	556	1550
264	557	1545
265	560	1547
266	564	1548
267	565	1545
268	568	1544
269	570	1542
270	573	1541
271	575	1540
272	577	1537
273	579	1534
274	581	1534
275	584	1533
276	586	1531
277	589	1530
278	590	1527
279	592	1524
280	595	1522
281	596	1519
282	598	1517
283	600	1514
284	603	1512
285	605	1511
286	608	1511
287	610	1509
288	611	1505
289	613	1502
290	614	1498
291	617	1496
292	618	1493
293	620	1489
294	621	1486
295	623	1483
296	626	1482
297	628	1481
298	630	1477
299	632	1476
300	635	1474
301	637	1472
302	639	1471
303	641	1468
304	643	1465
305	644	1461
306	646	1458
307	648	1456
308	651	1456
309	654	1456
310	656	1454
311	659	1453
312	661	1452
313	663	1449
314	665	1446
315	666	1442
316	668	1439
317	669	1436
318	671	1434
319	674	1433
320	676	1431
321	677	1427
322	679	1424
323	681	1421
324	682	1418
325	684	1414
326	685	1411
327	687	1407
328	688	1403
329	690	1401
330	691	1397
331	693	1395
332	695	1392
333	697	1390
334	699	1388
335	700	1385
336	702	1382
337	704	1379
338	706	1376
339	707	1373
340	709	1370
341	710	1367
342	712	1365
343	713	1361
344	715	1358
345	717	1355
346	719	1354
347	721	1351
348	723	1350
349	725	1347
350	727	1344
351	728	1341
352	730	1338
353	732	1335
354	734	1333
355	735	1331
356	738	1329
357	741	1329
358	745	1331
359	748	1330
360	750	1328
361	752	1325
362	754	1323
363	756	1321
364	757	1318
365	761	1319
366	764	1318
367	766	1317
368	769	1315
369	771	1314
370	774	1312
371	776	1310
372	778	1307
373	779	1305
374	782	1303
375	785	1303
376	786	1300
377	788	1297
378	790	1294
379	791	1291
380	793	1289
381	795	1287
382	797	1285
383	799	1282
384	801	1280
385	803	1277
386	805	1275
387	807	1273
388	809	1271
389	811	1269
390	812	1266
391	814	1263
392	817	1262
393	819	1259
394	820	1257
395	822	1254
396	824	1251
397	825	1249
398	829	1249
399	832	1248
400	833	1245
401	835	1242
402	837	1240
403	839	1237
404	840	1235
405	842	1233
406	844	1230
407	846	1227
408	847	1224
409	848	1221
410	850	1219
411	852	1216
412	854	1213
413	855	1211
414	857	1209
415	859	1206
416	860	1202
417	862	1200
418	863	1197
419	865	1195
420	867	1192
421	868	1189
422	869	1186
423	870	1183
424	872	1180
425	873	1177
426	875	1174
427	877	1173
428	879	1170
429	880	1167
430	882	1164
431	884	1162
432	885	1159
433	887	1157
434	889	1154
435	890	1152
436	892	1149
437	893	1146
438	895	1143
439	896	1141
440	899	1139
441	901	1137
442	903	1136
443	906	1134
444	908	1133
445	909	1130
446	911	1127
447	912	1124
448	914	1121
449	915	1118
450	917	1116
451	919	1114
452	921	1112
453	923	1110
454	925	1108
455	928	1107
456	930	1105
457	932	1103
458	933	1100
459	935	1098
460	936	1095
461	938	1092
462	939	1090
463	941	1088
464	943	1085
465	946	1084
466	947	1081
467	949	1079
468	951	1077
469	953	1074
470	956	1073
471	958	1071
472	959	1069
473	962	1068
474	964	1066
475	966	1064
476	968	1061
477	970	1059
478	972	1057
479	973	1055
480	975	1052
481	977	1050
482	979	1047
483	981	1046
484	983	1044
485	986	1043
486	989	1042
487	992	1041
488	994	1039
489	996	1037
490	998	1035
491	1000	1033
492	1002	1030
493	1003	1027
494	1005	1025
495	1008	1024
496	1010	1022
497	1012	1020
498	1013	1017
499	1015	1015
500	1017	1013
501	1018	1010
502	1020	1008
503	1022	1005
504	1023	1003
505	1025	1000
506	1026	998
